name,alternate name,common set
ecocentrism,,1
philosophy of geography,geographic phil,1
platformism,,1
vienna circle,vienna circlism,1
semantic holism,,1
biologism,,1
value judgment,,1
won buddhism,,1
deconstruction,,1
teleologism,,1
chinese nationalism,chinese ntnlsm,1
pan-celticism,,1
agnosticism,,1
philosophy of mathematics,mathematic phil,1
dialetheism,,1
social anarchism,social anrchsm,1
christian reconstructionism,chr rcnstrctnsm,1
secularism,,1
buddhism,,1
new age,new age phil,1
libertarianism,,1
functionalism,,1
modernism,,1
monogamy,,1
neurophilosophy,,1
illuminationism,,1
phenomenalism,,1
agnotology,,1
hindu nationalism,hindu ntnlsm,1
neutral monism,,1
pay it forward,karma,1
conceptualism,,1
paganism,,1
darwinism,,1
alt-right,,1
bioconservatism,,1
platonism,,1
eurocommunism,,1
logicians,,1
meta-ethics,,1
externalism,,1
utilitarian bioethics,util bioethics,1
pandeism,,1
egalitarianism,,1
anarcha-feminism,anrch feminism,1
acosmism,,1
aesthetic realism,aesthetic rlsm,1
pain (philosophy),pain phil,1
incontinence,,1
green municipalism,green mncplsm,1
christian anarchism,chr anarchism,1
verificationism,,1
theodemocracy,,1
falun gong,,1
hermetic order of the golden dawn,Golden Dawnism,1
meta-philosophy,,1
louisiana voodoo,voodoo,1
human exceptionalism,anthropism,0
actualism,,1
logic in china,chinese logic,1
absolutism,,1
ultramontanism,,1
womanism,,1
corporatocracy,,1
racism,,1
mereological nihilism,mereology,1
bolshevism,,1
chinese philosophy,chinese phil,1
daesun jinrihoe,,1
moral relativism,moral rltvsm,1
panislamism,,1
christian right,,1
pyrrhonism,,1
ba'athism,,1
ethical egoism,,1
welsh nationalism,welsh ntnlsm,1
conventionalism,,1
ableism,,1
determinism,,1
black conservatism,black cnsrvtsm,1
socialism in one country,one socialism,1
political philosophy,political phil,1
new left,,1
anti-realism,,1
synoptic philosophy,synoptic phil,1
national liberalism,national lib,1
lesbian feminism,lesbian fmnsm,1
anti-imperialism,anti-imp,1
expressivism,,1
new right,,1
pan-slavism,,1
confirmation holism,conf holism,1
fatalism,,1
hermeticism,,1
cultural conservatism,cltrl cnsrvtsm,1
luciferianism,,1
cognitivism,,1
irish republicanism,irish repub,1
identityism,,1
dynamism,,1
noocracy,,1
antinatalism,,1
popolarismo,,1
economic liberalism,economic lib,1
islamic socialism,islamic sclsm,1
philosophy of environment,envrnmntl phil,1
eclecticism,,1
christian theology,chr theology,1
fallibilism,,1
zoroastrianism,,1
khalistan movement,khalistan mvmnt,1
bioethics,,1
stalinism,,1
xiantiandao,,1
pyrrhonian skepticism,pyrrhonism,1
calvinism,,1
arab socialism,,1
republicanism,,1
integral nationalism,integral ntnlsm,1
disjunctivism,,1
objective idealism,objctv idealism,1
careerism,,1
kemalism,,1
antireductionism,anti-rdctnsm,1
kashmir shaivism,kshmr shaivism,1
compassionate conservatism,paternalism,1
yellow socialism,yellow sclsm,1
philosophy of sex,sex phil,0
intellectualism,,1
post-scarcity anarchism,post-scarcity,1
social ecology,,1
descriptivism,,1
hongaku,,1
altruism,,1
old left,,1
atomism,,1
scandinavianism,,1
surrealism,,1
transcendental perspectivism,trscdntl psptsm,1
philosophy of education,education phil,1
